player_name,year,salary,player_option,team_option,guaranteed_salary
Dalen Terry,1,"$3,510,480",FALSE,True,"$8,909,598"
Dalen Terry,2,"$5,399,118",FALSE,True,"$8,909,598"
Cody Zeller,1,"$3,500,000",FALSE,FALSE,"$3,500,000"
Cody Zeller,2,"$3,675,000",FALSE,FALSE,"$3,500,000"
Cody Zeller,3,"$3,850,000",FALSE,FALSE,"$3,500,000"
Ja'Kobe Walter,1,"$3,465,000",FALSE,FALSE,"$7,103,160"
Ja'Kobe Walter,2,"$3,638,160",FALSE,FALSE,"$7,103,160"
Ja'Kobe Walter,3,"$3,811,800",FALSE,True,"$7,103,160"
Ja'Kobe Walter,4,"$5,870,172",FALSE,True,"$7,103,160"
Cam Whitmore,1,"$3,379,080",FALSE,FALSE,"$3,379,080"
Cam Whitmore,2,"$3,539,760",FALSE,True,"$3,379,080"
Cam Whitmore,3,"$5,458,310",FALSE,True,"$3,379,080"
Derrick Rose,1,"$3,356,271",FALSE,FALSE,"$3,356,271"
Jake LaRavia,1,"$3,352,680",FALSE,True,"$3,352,680"
Jake LaRavia,2,"$5,163,127",FALSE,True,"$3,352,680"
Jaylon Tyson,1,"$3,326,160",FALSE,FALSE,"$6,818,640"
Jaylon Tyson,2,"$3,492,480",FALSE,FALSE,"$6,818,640"
Jaylon Tyson,3,"$3,658,560",FALSE,True,"$6,818,640"
Jaylon Tyson,4,"$5,641,500",FALSE,True,"$6,818,640"
Eric Gordon,1,"$3,303,771",FALSE,FALSE,"$3,303,771"
Eric Gordon,2,"$3,468,960",True,FALSE,"$3,303,771"
Cory Joseph,1,"$3,303,771",FALSE,FALSE,"$3,303,771"
Cory Joseph,2,"$3,468,960",FALSE,True,"$3,303,771"
Noah Clowney,1,"$3,244,080",FALSE,FALSE,"$3,244,080"
Noah Clowney,2,"$3,398,640",FALSE,True,"$3,244,080"
Noah Clowney,3,"$5,414,034",FALSE,True,"$3,244,080"
Malaki Branham,1,"$3,217,920",FALSE,True,"$8,179,953"
Malaki Branham,2,"$4,962,033",FALSE,True,"$8,179,953"
Yves Missi,1,"$3,193,200",FALSE,FALSE,"$6,546,240"
Yves Missi,2,"$3,353,040",FALSE,FALSE,"$6,546,240"
Yves Missi,3,"$3,512,760",FALSE,True,"$6,546,240"
Yves Missi,4,"$5,595,827",FALSE,True,"$6,546,240"
Dante Exum,1,"$3,150,000",FALSE,FALSE,
Dariq Whitehead,1,"$3,114,240",FALSE,FALSE,"$3,114,240"
Dariq Whitehead,2,"$3,262,560",FALSE,True,"$3,114,240"
Dariq Whitehead,3,"$5,366,912",FALSE,True,"$3,114,240"
Christian Braun,1,"$3,089,640",FALSE,True,"$8,011,437"
Christian Braun,2,"$4,921,797",FALSE,True,"$8,011,437"
DaRon Holmes,1,"$3,065,640",FALSE,FALSE,"$6,284,400"
DaRon Holmes,2,"$3,218,760",FALSE,FALSE,"$6,284,400"
DaRon Holmes,3,"$3,372,120",FALSE,True,"$6,284,400"
DaRon Holmes,4,"$5,547,138",FALSE,True,"$6,284,400"
Josh Richardson,1,"$3,051,153",True,FALSE,"$3,051,153"
Christian Wood,1,"$3,036,040",True,FALSE,"$3,036,040"
Julian Champagnie,1,"$3,000,000",FALSE,FALSE,
Julian Champagnie,2,"$3,000,000",FALSE,FALSE,
Julian Champagnie,3,"$3,000,000",FALSE,True,
Kris Murray,1,"$2,990,040",FALSE,FALSE,"$6,122,040"
Kris Murray,2,"$3,132,000",FALSE,True,"$6,122,040"
Kris Murray,3,"$5,315,004",FALSE,True,"$6,122,040"
Walker Kessler,1,"$2,965,920",FALSE,True,"$7,844,858"
Walker Kessler,2,"$4,878,938",FALSE,True,"$7,844,858"
Shake Milton,1,"$2,875,000",FALSE,FALSE,"$9,162,406"
Shake Milton,2,"$3,000,000",FALSE,FALSE,"$9,162,406"
Shake Milton,3,"$3,287,406",FALSE,FALSE,"$9,162,406"
Olivier-Maxence Prosper,1,"$2,870,400",FALSE,FALSE,"$2,870,400"
Olivier-Maxence Prosper,2,"$3,007,080",FALSE,True,"$2,870,400"
Olivier-Maxence Prosper,3,"$5,259,383",FALSE,True,"$2,870,400"
David Roddy,1,"$2,847,240",FALSE,True,"$2,847,240"
David Roddy,2,"$4,831,766",FALSE,True,"$2,847,240"
Torrey Craig,1,"$2,845,342",True,FALSE,"$2,845,342"
Kyshawn George,1,"$2,825,520",FALSE,FALSE,"$5,792,280"
Kyshawn George,2,"$2,966,760",FALSE,FALSE,"$5,792,280"
Kyshawn George,3,"$3,108,000",FALSE,True,"$5,792,280"
Kyshawn George,4,"$5,435,892",FALSE,True,"$5,792,280"
AJ Johnson,1,"$2,795,294",FALSE,FALSE,"$5,885,774"
AJ Johnson,2,"$3,090,480",FALSE,FALSE,"$5,885,774"
AJ Johnson,3,"$3,237,120",FALSE,True,"$5,885,774"
AJ Johnson,4,"$5,493,394",FALSE,True,"$5,885,774"
Marcus Sasser,1,"$2,755,080",FALSE,FALSE,"$2,755,080"
Marcus Sasser,2,"$2,886,720",FALSE,True,"$2,755,080"
Marcus Sasser,3,"$5,198,983",FALSE,True,"$2,755,080"
Dewayne Dedmon,1,"$2,748,674",FALSE,FALSE,"$2,748,674"
MarJon Beauchamp,1,"$2,733,720",FALSE,True,"$2,733,720"
MarJon Beauchamp,2,"$4,781,276",FALSE,True,"$2,733,720"
Trendon Watford,1,"$2,726,603",FALSE,FALSE,"$2,726,603"
Ben Sheppard,1,"$2,663,880",FALSE,FALSE,"$5,454,600"
Ben Sheppard,2,"$2,790,720",FALSE,True,"$5,454,600"
Ben Sheppard,3,"$5,031,669",FALSE,True,"$5,454,600"
Keita Bates-Diop,1,"$2,654,644",True,FALSE,"$2,654,644"
Yuta Watanabe,1,"$2,654,644",True,FALSE,
Blake Wesley,1,"$2,624,280",FALSE,True,"$7,350,608"
Blake Wesley,2,"$4,726,328",FALSE,True,"$7,350,608"
Dillon Jones,1,"$2,622,360",FALSE,FALSE,"$5,375,640"
Dillon Jones,2,"$2,753,280",FALSE,FALSE,"$5,375,640"
Dillon Jones,3,"$2,884,440",FALSE,True,"$5,375,640"
Dillon Jones,4,"$5,200,646",FALSE,True,"$5,375,640"
Nick Smith Jr.,1,"$2,587,200",FALSE,FALSE,"$2,587,200"
Nick Smith Jr.,2,"$2,710,680",FALSE,True,"$2,587,200"
Nick Smith Jr.,3,"$4,890,067",FALSE,True,"$2,587,200"
Brice Sensabaugh,1,"$2,571,480",FALSE,FALSE,"$5,265,240"
Brice Sensabaugh,2,"$2,693,760",FALSE,True,"$5,265,240"
Brice Sensabaugh,3,"$4,862,237",FALSE,True,"$5,265,240"
Ty Jerome,1,"$2,560,975",FALSE,FALSE,"$2,560,975"
Julian Strawther,1,"$2,552,520",FALSE,FALSE,"$5,226,720"
Julian Strawther,2,"$2,674,200",FALSE,True,"$5,226,720"
Julian Strawther,3,"$4,826,931",FALSE,True,"$5,226,720"
Terrence Shannon Jr.,1,"$2,546,640",FALSE,FALSE,"$5,220,720"
Terrence Shannon Jr.,2,"$2,674,080",FALSE,FALSE,"$5,220,720"
Terrence Shannon Jr.,3,"$2,801,640",FALSE,True,"$5,220,720"
Terrence Shannon Jr.,4,"$5,054,159",FALSE,True,"$5,220,720"
Wendell Moore Jr.,1,"$2,537,040",FALSE,True,"$2,537,040"
Wendell Moore Jr.,2,"$4,574,283",FALSE,True,"$2,537,040"
Kobe Brown,1,"$2,533,920",FALSE,FALSE,"$2,533,920"
Kobe Brown,2,"$2,654,880",FALSE,True,"$2,533,920"
Kobe Brown,3,"$4,792,059",FALSE,True,"$2,533,920"
Ryan Dunn,1,"$2,530,800",FALSE,FALSE,"$5,188,560"
Ryan Dunn,2,"$2,657,760",FALSE,FALSE,"$5,188,560"
Ryan Dunn,3,"$2,784,240",FALSE,True,"$5,188,560"
Ryan Dunn,4,"$5,025,553",FALSE,True,"$5,188,560"
Isaiah Collier,1,"$2,512,680",FALSE,FALSE,"$5,150,880"
Isaiah Collier,2,"$2,638,200",FALSE,FALSE,"$5,150,880"
Isaiah Collier,3,"$2,763,960",FALSE,True,"$5,150,880"
Isaiah Collier,4,"$4,988,948",FALSE,True,"$5,150,880"
Baylor Scheierman,1,"$2,494,320",FALSE,FALSE,"$10,191,353"
Baylor Scheierman,2,"$2,619,000",FALSE,FALSE,"$10,191,353"
Baylor Scheierman,3,"$2,744,040",FALSE,True,"$10,191,353"
