start_time,away_team,away_team_score,home_team,home_team_score
2024-11-10 22:00:00+00:00,NEW YORK KNICKS,,INDIANA PACERS,
2024-11-10 23:00:00+00:00,WASHINGTON WIZARDS,,ORLANDO MAGIC,
2024-11-11 00:00:00+00:00,MIAMI HEAT,,MINNESOTA TIMBERWOLVES,
2024-11-11 00:00:00+00:00,GOLDEN STATE WARRIORS,,OKLAHOMA CITY THUNDER,
2024-11-11 00:00:00+00:00,CHARLOTTE HORNETS,,PHILADELPHIA 76ERS,
2024-11-11 01:00:00+00:00,DALLAS MAVERICKS,,DENVER NUGGETS,
2024-11-11 01:00:00+00:00,SACRAMENTO KINGS,,PHOENIX SUNS,
2024-11-11 02:00:00+00:00,MEMPHIS GRIZZLIES,,PORTLAND TRAIL BLAZERS,
2024-11-11 02:30:00+00:00,TORONTO RAPTORS,,LOS ANGELES LAKERS,
2024-11-12 01:00:00+00:00,CLEVELAND CAVALIERS,,CHICAGO BULLS,
2024-11-12 01:00:00+00:00,WASHINGTON WIZARDS,,HOUSTON ROCKETS,
2024-11-12 01:00:00+00:00,BROOKLYN NETS,,NEW ORLEANS PELICANS,
2024-11-12 01:00:00+00:00,LOS ANGELES CLIPPERS,,OKLAHOMA CITY THUNDER,
2024-11-12 01:00:00+00:00,SACRAMENTO KINGS,,SAN ANTONIO SPURS,
2024-11-13 00:00:00+00:00,ATLANTA HAWKS,,BOSTON CELTICS,
2024-11-13 00:00:00+00:00,MIAMI HEAT,,DETROIT PISTONS,
2024-11-13 00:00:00+00:00,CHARLOTTE HORNETS,,ORLANDO MAGIC,
2024-11-13 00:30:00+00:00,NEW YORK KNICKS,,PHILADELPHIA 76ERS,
2024-11-13 01:00:00+00:00,TORONTO RAPTORS,,MILWAUKEE BUCKS,
2024-11-13 02:00:00+00:00,PHOENIX SUNS,,UTAH JAZZ,
2024-11-13 03:00:00+00:00,DALLAS MAVERICKS,,GOLDEN STATE WARRIORS,
2024-11-13 03:00:00+00:00,MINNESOTA TIMBERWOLVES,,PORTLAND TRAIL BLAZERS,
2024-11-14 00:00:00+00:00,INDIANA PACERS,,ORLANDO MAGIC,
2024-11-14 00:30:00+00:00,BOSTON CELTICS,,BROOKLYN NETS,
2024-11-14 00:30:00+00:00,CHICAGO BULLS,,NEW YORK KNICKS,
2024-11-14 00:30:00+00:00,NEW ORLEANS PELICANS,,OKLAHOMA CITY THUNDER,
2024-11-14 00:30:00+00:00,CLEVELAND CAVALIERS,,PHILADELPHIA 76ERS,
2024-11-14 01:00:00+00:00,LOS ANGELES CLIPPERS,,HOUSTON ROCKETS,
2024-11-14 01:00:00+00:00,DETROIT PISTONS,,MILWAUKEE BUCKS,
2024-11-14 01:00:00+00:00,WASHINGTON WIZARDS,,SAN ANTONIO SPURS,
2024-11-14 03:00:00+00:00,MEMPHIS GRIZZLIES,,LOS ANGELES LAKERS,
2024-11-14 03:00:00+00:00,MINNESOTA TIMBERWOLVES,,PORTLAND TRAIL BLAZERS,
2024-11-14 03:00:00+00:00,PHOENIX SUNS,,SACRAMENTO KINGS,
2024-11-15 02:00:00+00:00,DALLAS MAVERICKS,,UTAH JAZZ,
2024-11-16 00:00:00+00:00,MIAMI HEAT,,INDIANA PACERS,
2024-11-16 00:00:00+00:00,PHILADELPHIA 76ERS,,ORLANDO MAGIC,
2024-11-16 00:00:00+00:00,DETROIT PISTONS,,TORONTO RAPTORS,
2024-11-16 00:30:00+00:00,WASHINGTON WIZARDS,,ATLANTA HAWKS,
2024-11-16 00:30:00+00:00,CHICAGO BULLS,,CLEVELAND CAVALIERS,
2024-11-16 00:30:00+00:00,BROOKLYN NETS,,NEW YORK KNICKS,
2024-11-16 00:30:00+00:00,LOS ANGELES LAKERS,,SAN ANTONIO SPURS,
2024-11-16 01:00:00+00:00,LOS ANGELES CLIPPERS,,HOUSTON ROCKETS,
2024-11-16 01:00:00+00:00,DENVER NUGGETS,,NEW ORLEANS PELICANS,
2024-11-16 01:00:00+00:00,PHOENIX SUNS,,OKLAHOMA CITY THUNDER,
2024-11-16 03:00:00+00:00,MEMPHIS GRIZZLIES,,GOLDEN STATE WARRIORS,
2024-11-16 03:00:00+00:00,MINNESOTA TIMBERWOLVES,,SACRAMENTO KINGS,
2024-11-16 20:00:00+00:00,MILWAUKEE BUCKS,,CHARLOTTE HORNETS,
2024-11-17 01:00:00+00:00,TORONTO RAPTORS,,BOSTON CELTICS,
2024-11-17 01:00:00+00:00,LOS ANGELES LAKERS,,NEW ORLEANS PELICANS,
2024-11-17 01:30:00+00:00,SAN ANTONIO SPURS,,DALLAS MAVERICKS,
2024-11-17 03:00:00+00:00,UTAH JAZZ,,SACRAMENTO KINGS,
2024-11-17 20:30:00+00:00,PHOENIX SUNS,,MINNESOTA TIMBERWOLVES,
2024-11-17 22:00:00+00:00,MIAMI HEAT,,INDIANA PACERS,
2024-11-17 23:00:00+00:00,CHARLOTTE HORNETS,,CLEVELAND CAVALIERS,
2024-11-17 23:00:00+00:00,DENVER NUGGETS,,MEMPHIS GRIZZLIES,
2024-11-17 23:00:00+00:00,ATLANTA HAWKS,,PORTLAND TRAIL BLAZERS,
2024-11-17 23:00:00+00:00,DETROIT PISTONS,,WASHINGTON WIZARDS,
2024-11-18 00:00:00+00:00,HOUSTON ROCKETS,,CHICAGO BULLS,
2024-11-18 00:00:00+00:00,BROOKLYN NETS,,NEW YORK KNICKS,
2024-11-18 00:00:00+00:00,DALLAS MAVERICKS,,OKLAHOMA CITY THUNDER,
2024-11-18 02:00:00+00:00,UTAH JAZZ,,LOS ANGELES CLIPPERS,
2024-11-19 00:00:00+00:00,CHICAGO BULLS,,DETROIT PISTONS,
2024-11-19 00:30:00+00:00,PHILADELPHIA 76ERS,,MIAMI HEAT,
2024-11-19 00:30:00+00:00,WASHINGTON WIZARDS,,NEW YORK KNICKS,
2024-11-19 00:30:00+00:00,INDIANA PACERS,,TORONTO RAPTORS,
2024-11-19 01:00:00+00:00,HOUSTON ROCKETS,,MILWAUKEE BUCKS,
2024-11-19 02:00:00+00:00,ORLANDO MAGIC,,PHOENIX SUNS,
2024-11-19 03:00:00+00:00,ATLANTA HAWKS,,SACRAMENTO KINGS,
2024-11-19 03:30:00+00:00,GOLDEN STATE WARRIORS,,LOS ANGELES CLIPPERS,
2024-11-20 00:00:00+00:00,CLEVELAND CAVALIERS,,BOSTON CELTICS,
2024-11-20 00:30:00+00:00,CHARLOTTE HORNETS,,BROOKLYN NETS,
2024-11-20 01:00:00+00:00,DENVER NUGGETS,,MEMPHIS GRIZZLIES,
2024-11-20 01:30:00+00:00,NEW ORLEANS PELICANS,,DALLAS MAVERICKS,
2024-11-20 02:30:00+00:00,OKLAHOMA CITY THUNDER,,SAN ANTONIO SPURS,
2024-11-20 03:30:00+00:00,UTAH JAZZ,,LOS ANGELES LAKERS,
2024-11-21 00:30:00+00:00,NEW ORLEANS PELICANS,,CLEVELAND CAVALIERS,
2024-11-21 00:30:00+00:00,CHICAGO BULLS,,MILWAUKEE BUCKS,
2024-11-21 01:00:00+00:00,INDIANA PACERS,,HOUSTON ROCKETS,
2024-11-21 01:00:00+00:00,PHILADELPHIA 76ERS,,MEMPHIS GRIZZLIES,
2024-11-21 01:00:00+00:00,PORTLAND TRAIL BLAZERS,,OKLAHOMA CITY THUNDER,
2024-11-21 03:00:00+00:00,ATLANTA HAWKS,,GOLDEN STATE WARRIORS,
2024-11-21 03:00:00+00:00,NEW YORK KNICKS,,PHOENIX SUNS,
2024-11-21 03:30:00+00:00,ORLANDO MAGIC,,LOS ANGELES CLIPPERS,
2024-11-22 00:00:00+00:00,DETROIT PISTONS,,CHARLOTTE HORNETS,
2024-11-22 00:30:00+00:00,MINNESOTA TIMBERWOLVES,,TORONTO RAPTORS,
2024-11-22 01:00:00+00:00,UTAH JAZZ,,SAN ANTONIO SPURS,
2024-11-22 03:30:00+00:00,ORLANDO MAGIC,,LOS ANGELES LAKERS,
2024-11-23 00:00:00+00:00,BROOKLYN NETS,,PHILADELPHIA 76ERS,
2024-11-23 00:00:00+00:00,BOSTON CELTICS,,WASHINGTON WIZARDS,
2024-11-23 00:30:00+00:00,INDIANA PACERS,,MILWAUKEE BUCKS,
2024-11-23 01:00:00+00:00,ATLANTA HAWKS,,CHICAGO BULLS,
